game,ply,side,san,uci,fen_before,depth,nodes,nps,engine_time_ms,wall_time_s,time_gap_ms,score_type,score_val,score_cp,pv,bookns,ttns,singns,evalns,probcutns,sf_best_move,sf_best_cp,sf_actual_cp,sf_cp_lost,sf_match,sf_mate_involved,sf_accuracy,sf_class
8,94,black,Rh7,f7h7,8/5r2/p7/1p1k4/3bp3/1P4P1/P1R2PP1/5K2 b - - 4 47,16,23011081,7670360,3000,3.001,1,cp,93,93,f7h7 f1e2 h7h1 c2c8 h1a1 c8c2 b5b4,150,910366880,2201160661,415583719,277740,f7h7,487,457,30,True,False,93.87681140351202,Best
8,95,white,g4,g3g4,8/7r/p7/1p1k4/3bp3/1P4P1/P1R2PP1/5K2 w - - 5 48,15,24599475,8199825,3000,3.0,0,cp,-80,-80,g3g4 h7h4 c2c8 h4g4 c8d8 d5c5 d8c8 c5b4 c8c6,40,776107165,1910918788,332930332,370151,g3g4,-492,-491,-1,True,False,99.9999,Best
8,96,black,Rh1+,h7h1,8/7r/p7/1p1k4/3bp1P1/1P6/P1R2PP1/5K2 b - - 0 48,14,25113970,8368533,3001,3.001,0,cp,127,127,h7h1 f1e2 h1g1 c2c8 g1g2 c8d8 d5e5 d8e8 e5f4 e8f8 f4g4 f8g8 g4h3 g8a8,130,857795710,2002727064,366831536,137832,h7h1,482,484,-2,True,False,99.9999,Best
8,97,white,Ke2,f1e2,8/8/p7/1p1k4/3bp1P1/1P6/P1R2PP1/5K1r w - - 1 49,16,7166056,3107569,2306,3.0,694,cp,-123,-123,f1e2 h1g1 g2g3 e4e3 f2e3 g1g2 e2d3 g2g3,40,196755330,502546493,92331017,37462,f1e2,-501,-503,2,True,False,99.61179541230295,Best
8,98,black,Rg1,h1g1,8/8/p7/1p1k4/3bp1P1/1P6/P1R1KPP1/7r b - - 2 49,15,26380167,8790458,3001,3.001,0,cp,137,137,h1g1 g2g3 e4e3 f2e3 g1g2 e2d3 g2g3 c2e2 d4e5 g4g5,130,892175086,2090014990,393789737,136212,h1h2,503,492,11,False,False,97.85792881172581,Excellent
8,99,white,g3,g2g3,8/8/p7/1p1k4/3bp1P1/1P6/P1R1KPP1/6r1 w - - 3 50,16,9814730,6161161,1593,3.001,1408,cp,-141,-141,g2g3 d4f2,80,315963517,942206157,136235994,140701,g2g3,-489,-511,22,True,False,95.78779977655586,Best
8,100,black,e3,e4e3,8/8/p7/1p1k4/3bp1P1/1P4P1/P1R1KP2/6r1 b - - 0 50,15,37855746,12614377,3001,3.001,0,cp,183,183,e4e3 f2e3 g1g2 e2d3 g2c2 d3c2 d4e3 g4g5 e3g5 c2d3 g5f6,60,1171037780,2906736550,543051378,198995,g1h1,505,382,123,False,False,75.58886481062517,Inaccuracy
8,101,white,fxe3,f2e3,8/8/p7/1p1k4/3b2P1/1P2p1P1/P1R1KP2/6r1 w - - 0 51,16,13270370,7960629,1667,3.001,1334,cp,-194,-194,f2e3 g1g2 e2d3 g2c2 d3c2 d4e3 g4g5 e3g5 c2d3 g5c1 d3c3 c1e3 c3d3 e3b6 d3e2,60,422316854,1347549687,197975212,7306296,f2e3,-397,-409,12,True,False,97.05229016669801,Best
8,102,black,Rg2+,g1g2,8/8/p7/1p1k4/3b2P1/1P2P1P1/P1R1K3/6r1 b - - 0 51,16,15226352,5085621,2994,3.001,7,cp,183,183,g1g2 e2d3 g2c2 d3c2,50,597095654,1375273772,286003033,860633,g1g2,417,410,7,True,False,98.31176928809121,Best
8,103,white,Kd3,e2d3,8/8/p7/1p1k4/3b2P1/1P2P1P1/P1R1K1r1/8 w - - 1 52,16,3119108,6238216,500,3.001,2501,cp,-212,-212,e2d3 g2c2 e3e4 d5e5 d3c2 e5e4 g4g5 e4f3,70,131765438,289677284,70702127,124949,e2d3,-418,-427,9,True,False,97.87996753929748,Best
8,104,black,Rxg3,g2g3,8/8/p7/1p1k4/3b2P1/1P1KP1P1/P1R3r1/8 b - - 2 52,17,13366665,6171128,2166,3.001,835,cp,147,147,g2g3 c2e2 d4e5 g4g5 g3g5 e2c2 g5g6 c2e2,140,502063207,1246491050,227108255,757288,g2g3,417,427,-10,True,False,99.9999,Best
8,105,white,Re2,c2e2,8/8/p7/1p1k4/3b2P1/1P1KP1r1/P1R5/8 w - - 0 53,17,35956665,11985555,3000,3.001,1,cp,-148,-148,c2e2 d4e5 e2c2 g3g4 c2e2 g4g7 e2c2 e5f6 c2c8 g7g2 c8c2 g2c2 d3c2 d5e4 c2d2,50,1132679078,3679167118,440737972,250872,c2e2,-418,-426,8,True,False,98.11110810122887,Best
8,106,black,Be5,d4e5,8/8/p7/1p1k4/3b2P1/1P1KP1r1/P3R3/8 b - - 1 53,15,19375015,6456186,3001,3.001,0,cp,148,148,d4e5 g4g5 g3g5 e2c2 g5g6 c2e2 g6g7 e2f2 g7c7 f2c2,40,603702706,1373681323,255493577,91003,d4c5,417,410,7,False,False,98.31176928809121,Excellent
8,107,white,Re1,e2e1,8/8/p7/1p1kb3/6P1/1P1KP1r1/P3R3/8 w - - 2 54,17,18711892,6235218,3001,3.001,0,cp,-148,-148,e2e1 g3g4 e1e2 g4g7 e2c2 g7c7,50,688850782,1808657586,285442191,105017,e2f2,-421,-432,11,False,False,97.43926472111555,Excellent
